MAE,RMSE,R2,fold,case,model
0.031298158524801216,0.036670778260267226,0.9905504578299877,1,0.68__-1.0,Neural network
0.05233094626788517,0.06483729952615822,0.9758024560850621,2,0.68__-2.0,Neural network
0.04777662018340315,0.06136329638684716,0.985094531595735,3,0.68__-3.0,Neural network
0.0692396926787386,0.09499586864862294,0.977503143348457,4,0.68__-4.0,Neural network
0.03124575502085708,0.038269548204080295,0.9901277674098657,5,0.68__0.0,Neural network
0.025895960044086924,0.032816289918711675,0.9944494687027416,6,0.68__1.0,Neural network
0.04812480006262398,0.09482872101906674,0.9835311144724846,7,0.68__10.0,Neural network
0.06830273705671461,0.1046073616942153,0.9758083524232861,8,0.68__11.0,Neural network
0.038460826607768596,0.0698699331242925,0.9881723688813733,9,0.68__12.0,Neural network
0.040948441583669365,0.07671416780841313,0.9850141742774184,10,0.68__13.0,Neural network
0.029299133147206616,0.05469716971301766,0.9921863052343121,11,0.68__14.0,Neural network
0.03168305592570728,0.05720464210982578,0.9914590243653968,12,0.68__15.0,Neural network
0.030528007167319137,0.05599467419270255,0.9918731922411825,13,0.68__16.0,Neural network
0.04153292670905753,0.06377843158007512,0.989688598594658,14,0.68__17.0,Neural network
0.029120638481189367,0.05537079087680835,0.9923744182756484,15,0.68__18.0,Neural network
0.028252281700635953,0.05460167826878306,0.99273912806413,16,0.68__19.0,Neural network
0.04938978446027928,0.058620293228125495,0.9883052820547175,17,0.68__2.0,Neural network
0.024006172529847224,0.04841869032966843,0.9944678251496479,18,0.68__20.0,Neural network
0.028105126085388583,0.04724500100172253,0.9948118224355836,19,0.68__21.0,Neural network
0.03060627374013533,0.06511788580531537,0.9904260999040225,20,0.68__22.0,Neural network
0.049946830318131547,0.07251690093319393,0.9884660569655704,21,0.68__23.0,Neural network
0.040543464642459955,0.0715674229377132,0.9889476647642945,22,0.68__24.0,Neural network
0.06726508386780021,0.08429275515943079,0.9850187017065115,23,0.68__3.0,Neural network
0.06244542212994016,0.10248909862647596,0.9847965234763113,24,0.68__4.0,Neural network
0.06191725462798916,0.09311484508934274,0.9901101281809064,25,0.68__5.0,Neural network
0.0720064702038442,0.10062333041765284,0.9896107587887227,26,0.68__6.0,Neural network
0.034769111994599894,0.05402728295261855,0.9969355950090912,27,0.68__7.0,Neural network
0.03868215775929636,0.05770303567113524,0.9960720918352507,28,0.68__8.0,Neural network
0.08981882433303545,0.12371937048195437,0.978646584102714,29,0.68__9.0,Neural network
0.02909055438966779,0.03381061028659723,0.9927631045251102,30,0.72__-1.0,Neural network
0.028669087799760903,0.03579482602611975,0.9933760523952478,31,0.72__-2.0,Neural network
0.05193792250094941,0.06202300097384576,0.9863414186468634,32,0.72__-3.0,Neural network
0.059789103383247215,0.08141372913915441,0.9843013981577263,33,0.72__-4.0,Neural network
0.022248294157204862,0.029010586483205023,0.9948983832567199,34,0.72__0.0,Neural network
0.027412944104935815,0.032047169964248626,0.9952519368364543,35,0.72__1.0,Neural network
0.039724998268432204,0.0754659919417349,0.9891821566702002,36,0.72__10.0,Neural network
0.03634549383256619,0.05906785283548486,0.9922345528818813,37,0.72__11.0,Neural network
0.02809788066672207,0.05148490969559392,0.993627587011738,38,0.72__12.0,Neural network
0.02978760673333918,0.05482643066176527,0.9924548552970586,39,0.72__13.0,Neural network
0.02509877376434864,0.04709260481692211,0.9943160162778185,40,0.72__14.0,Neural network
0.027403005344162523,0.04979767527361299,0.9936729657475601,41,0.72__15.0,Neural network
0.026376205424571756,0.04280507400928135,0.9953771769955952,42,0.72__16.0,Neural network
0.02912666845116114,0.057317480580732307,0.9919519860650483,43,0.72__17.0,Neural network
0.03257762290231874,0.06321034092675591,0.9904169396997002,44,0.72__18.0,Neural network
0.03300809804664411,0.06469374887557476,0.9902056007453418,45,0.72__19.0,Neural network
0.04542378088118609,0.06624412338769985,0.9865580859567333,46,0.72__2.0,Neural network
0.03677810607188247,0.06053057155196151,0.9917071670721396,47,0.72__20.0,Neural network
0.04243965066701603,0.06926173051918615,0.9893212199956162,48,0.72__21.0,Neural network
0.036650054635417866,0.07765970613763225,0.9869753672863236,49,0.72__22.0,Neural network
0.05747018418016742,0.09075215855328926,0.9827311815224513,50,0.72__23.0,Neural network
0.03502786177357095,0.06668900894168682,0.9908334079113131,51,0.72__24.0,Neural network
0.048048784515606215,0.0695534776514139,0.9900922522278407,52,0.72__3.0,Neural network
0.05702916647918074,0.06908871088952644,0.9922252988147119,53,0.72__4.0,Neural network
0.03712170099757616,0.05332730409637581,0.9956851178939552,54,0.72__5.0,Neural network
0.03428107173121639,0.052142298099183526,0.9959096754482015,55,0.72__6.0,Neural network
0.03432572998658754,0.060288064981291654,0.9944937646939063,56,0.72__7.0,Neural network
0.0372861818283395,0.059838495460568235,0.994439395496379,57,0.72__8.0,Neural network
0.037916561813424836,0.06563993922630645,0.9928410682424353,58,0.72__9.0,Neural network
0.02576788456797142,0.034793194966844826,0.9928286298383336,59,0.74__-1.0,Neural network
0.033896064220261084,0.04583884768382644,0.989852497105316,60,0.74__-2.0,Neural network
0.05697873885687771,0.06973303149209796,0.983544168971961,61,0.74__-3.0,Neural network
0.05475295933572013,0.07311891060380477,0.9861821798111955,62,0.74__-4.0,Neural network
0.039265740413274595,0.04952590337937449,0.9861359009620961,63,0.74__0.0,Neural network
0.029872800364479136,0.04207164247118176,0.9924202748212971,64,0.74__1.0,Neural network
0.032746346322095325,0.05290419594339267,0.9946419430421677,65,0.74__10.0,Neural network
0.038210713592304844,0.06530577042863975,0.9907110721454317,66,0.74__11.0,Neural network
0.03433125935107432,0.06209631018001386,0.9908487294886941,67,0.74__12.0,Neural network
0.03963806526551164,0.07002930224219903,0.9879802759508495,68,0.74__13.0,Neural network
0.040606382302989574,0.06313038230176288,0.9900656212512065,69,0.74__14.0,Neural network
0.030810223061566704,0.06435541314784954,0.9896661776997596,70,0.74__15.0,Neural network
0.028837345366376308,0.05893737249208914,0.9914322325920585,71,0.74__16.0,Neural network
0.03635599695995558,0.06665841550600501,0.9893968690947514,72,0.74__17.0,Neural network
0.024779789021310686,0.05242258168421537,0.9935697059021158,73,0.74__18.0,Neural network
0.03723937197477519,0.06737957118381792,0.9896524987811912,74,0.74__19.0,Neural network
0.03292223125322868,0.04852736879636585,0.9929998527138263,75,0.74__2.0,Neural network
0.03551718422391511,0.06326150332278553,0.991179885748137,76,0.74__20.0,Neural network
0.031127565191740644,0.06123532435670652,0.9918848965630988,77,0.74__21.0,Neural network
0.056400736945618195,0.07947743337084669,0.9867252547430245,78,0.74__22.0,Neural network
0.033278988918479836,0.07274830069744116,0.9892054279645665,79,0.74__23.0,Neural network
0.045921705529398525,0.07831455373044828,0.9877063905385873,80,0.74__24.0,Neural network
0.033353392539453,0.043817640871695755,0.9957354026578561,81,0.74__3.0,Neural network
0.039663410952567556,0.05583564236463623,0.9938991840394736,82,0.74__4.0,Neural network
0.04154721830158143,0.06254020945699541,0.9927554090402756,83,0.74__5.0,Neural network
0.03471259428424584,0.04854489813863141,0.9957784881501002,84,0.74__6.0,Neural network
0.0373538825831939,0.05878107642492424,0.9939262889950256,85,0.74__7.0,Neural network
0.03310649700996499,0.05161746941071848,0.9953599956904775,86,0.74__8.0,Neural network
0.03641567372826925,0.05649566156409045,0.9942959299139538,87,0.74__9.0,Neural network
0.03768910479238208,0.04960119735561242,0.9866392323328506,88,0.76__-1.0,Neural network
0.04845121357160612,0.06405673939053673,0.9814389423480349,89,0.76__-2.0,Neural network
0.04092194518849286,0.060763297477302115,0.9872022598178618,90,0.76__-3.0,Neural network
0.054835987393556634,0.08437049468376373,0.9782397046653172,91,0.76__-4.0,Neural network
