fold,AoA,NN_MAE,NN_RMSE,NN_R2,RF_MAE,RF_RMSE,RF_R2,RMSE_gap_NN_minus_RF,winner
1,0.0,0.023945019774709475,0.030574137255177252,0.9936988889895948,0.0136568864157666,0.0169702099027278,0.9980587425417672,0.013603927352449453,Random forest tuned
1,0.0,0.023945019774709475,0.030574137255177252,0.9936988889895948,0.0063968835565669,0.0102813142306449,0.9993216287258152,0.02029282302453235,Random forest tuned
1,0.0,0.023945019774709475,0.030574137255177252,0.9936988889895948,0.0122759411638563,0.0209185975793221,0.9973474720610704,0.00965553967585515,Random forest tuned
1,0.0,0.023945019774709475,0.030574137255177252,0.9936988889895948,0.0145816453425054,0.0260131787419591,0.9961751561946318,0.004560958513218152,Random forest tuned
2,0.0,0.024330737687605533,0.03246871999908519,0.9932344903225974,0.0122759411638563,0.0209185975793221,0.9973474720610704,0.011550122419763088,Random forest tuned
2,0.0,0.024330737687605533,0.03246871999908519,0.9932344903225974,0.0145816453425054,0.0260131787419591,0.9961751561946318,0.00645554125712609,Random forest tuned
2,0.0,0.024330737687605533,0.03246871999908519,0.9932344903225974,0.0238335168176232,0.0497165877835268,0.9872618946799412,-0.01724786778444161,Neural network
2,0.0,0.024330737687605533,0.03246871999908519,0.9932344903225974,0.0355051920115994,0.0577058560316135,0.9844768320594958,-0.025237136032528314,Neural network
1,0.0,0.023945019774709475,0.030574137255177252,0.9936988889895948,0.0238335168176232,0.0497165877835268,0.9872618946799412,-0.019142450528349546,Neural network
1,0.0,0.023945019774709475,0.030574137255177252,0.9936988889895948,0.0355051920115994,0.0577058560316135,0.9844768320594958,-0.02713171877643625,Neural network
2,0.0,0.024330737687605533,0.03246871999908519,0.9932344903225974,0.0136568864157666,0.0169702099027278,0.9980587425417672,0.015498510096357391,Random forest tuned
2,0.0,0.024330737687605533,0.03246871999908519,0.9932344903225974,0.0063968835565669,0.0102813142306449,0.9993216287258152,0.02218740576844029,Random forest tuned
3,0.0,0.01996247269728203,0.024934542440672836,0.9962312472818228,0.0145816453425054,0.0260131787419591,0.9961751561946318,-0.0010786363012862642,Neural network
3,0.0,0.01996247269728203,0.024934542440672836,0.9962312472818228,0.0122759411638563,0.0209185975793221,0.9973474720610704,0.004015944861350734,Random forest tuned
3,0.0,0.01996247269728203,0.024934542440672836,0.9962312472818228,0.0063968835565669,0.0102813142306449,0.9993216287258152,0.014653228210027935,Random forest tuned
3,0.0,0.01996247269728203,0.024934542440672836,0.9962312472818228,0.0136568864157666,0.0169702099027278,0.9980587425417672,0.007964332537945037,Random forest tuned
4,0.0,0.02426388153526837,0.029993202254567006,0.9949152157921374,0.0063968835565669,0.0102813142306449,0.9993216287258152,0.019711888023922104,Random forest tuned
4,0.0,0.02426388153526837,0.029993202254567006,0.9949152157921374,0.0136568864157666,0.0169702099027278,0.9980587425417672,0.013022992351839208,Random forest tuned
3,0.0,0.01996247269728203,0.024934542440672836,0.9962312472818228,0.0355051920115994,0.0577058560316135,0.9844768320594958,-0.03277131359094067,Neural network
3,0.0,0.01996247269728203,0.024934542440672836,0.9962312472818228,0.0238335168176232,0.0497165877835268,0.9872618946799412,-0.024782045342853963,Neural network
6,0.0,0.0508133591348055,0.07149757110820099,0.976170048585766,0.0063968835565669,0.0102813142306449,0.9993216287258152,0.06121625687755609,Random forest tuned
6,0.0,0.0508133591348055,0.07149757110820099,0.976170048585766,0.0136568864157666,0.0169702099027278,0.9980587425417672,0.05452736120547319,Random forest tuned
5,0.0,0.015545330294014706,0.025079181626289648,0.9967586276069517,0.0355051920115994,0.0577058560316135,0.9844768320594958,-0.03262667440532385,Neural network
5,0.0,0.015545330294014706,0.025079181626289648,0.9967586276069517,0.0238335168176232,0.0497165877835268,0.9872618946799412,-0.02463740615723715,Neural network
5,0.0,0.015545330294014706,0.025079181626289648,0.9967586276069517,0.0145816453425054,0.0260131787419591,0.9961751561946318,-0.0009339971156694521,Neural network
5,0.0,0.015545330294014706,0.025079181626289648,0.9967586276069517,0.0122759411638563,0.0209185975793221,0.9973474720610704,0.004160584046967546,Random forest tuned
5,0.0,0.015545330294014706,0.025079181626289648,0.9967586276069517,0.0063968835565669,0.0102813142306449,0.9993216287258152,0.014797867395644747,Random forest tuned
5,0.0,0.015545330294014706,0.025079181626289648,0.9967586276069517,0.0136568864157666,0.0169702099027278,0.9980587425417672,0.008108971723561849,Random forest tuned
4,0.0,0.02426388153526837,0.029993202254567006,0.9949152157921374,0.0355051920115994,0.0577058560316135,0.9844768320594958,-0.027712653777046497,Neural network
4,0.0,0.02426388153526837,0.029993202254567006,0.9949152157921374,0.0238335168176232,0.0497165877835268,0.9872618946799412,-0.019723385528959792,Neural network
4,0.0,0.02426388153526837,0.029993202254567006,0.9949152157921374,0.0145816453425054,0.0260131787419591,0.9961751561946318,0.003980023512607907,Random forest tuned
4,0.0,0.02426388153526837,0.029993202254567006,0.9949152157921374,0.0122759411638563,0.0209185975793221,0.9973474720610704,0.009074604675244905,Random forest tuned
6,0.0,0.0508133591348055,0.07149757110820099,0.976170048585766,0.0355051920115994,0.0577058560316135,0.9844768320594958,0.013791715076587482,Random forest tuned
6,0.0,0.0508133591348055,0.07149757110820099,0.976170048585766,0.0238335168176232,0.0497165877835268,0.9872618946799412,0.021780983324674187,Random forest tuned
6,0.0,0.0508133591348055,0.07149757110820099,0.976170048585766,0.0145816453425054,0.0260131787419591,0.9961751561946318,0.04548439236624188,Random forest tuned
6,0.0,0.0508133591348055,0.07149757110820099,0.976170048585766,0.0122759411638563,0.0209185975793221,0.9973474720610704,0.050578973528878884,Random forest tuned
12,1.0,0.04280032867171326,0.07462538596516001,0.9773409162529381,0.0179929747023427,0.0305270590940354,0.9956916890127018,0.04409832687112461,Random forest tuned
12,1.0,0.04280032867171326,0.07462538596516001,0.9773409162529381,0.0245221364331558,0.0497806445103823,0.989388041408681,0.024844741454777712,Random forest tuned
12,1.0,0.04280032867171326,0.07462538596516001,0.9773409162529381,0.0283110466231093,0.0439021468873986,0.992217902921046,0.030723239077761408,Random forest tuned
12,1.0,0.04280032867171326,0.07462538596516001,0.9773409162529381,0.0493612870327139,0.0714918921030679,0.9792038593324452,0.003133493862092107,Random forest tuned
8,1.0,0.02053441430981545,0.026746762694255573,0.9964910377992858,0.0086133920997363,0.0147743029352796,0.9989293432973602,0.011972459758975974,Random forest tuned
8,1.0,0.02053441430981545,0.026746762694255573,0.9964910377992858,0.0151335073267849,0.0214345896071141,0.9976319769762314,0.0053121730871414745,Random forest tuned
7,1.0,0.03584899480193925,0.04536479866480906,0.9893929760235868,0.0493612870327139,0.0714918921030679,0.9792038593324452,-0.026127093438258843,Neural network
7,1.0,0.03584899480193925,0.04536479866480906,0.9893929760235868,0.0283110466231093,0.0439021468873986,0.992217902921046,0.0014626517774104578,Random forest tuned
7,1.0,0.03584899480193925,0.04536479866480906,0.9893929760235868,0.0245221364331558,0.0497806445103823,0.989388041408681,-0.004415845845573238,Neural network
7,1.0,0.03584899480193925,0.04536479866480906,0.9893929760235868,0.0179929747023427,0.0305270590940354,0.9956916890127018,0.01483773957077366,Random forest tuned
7,1.0,0.03584899480193925,0.04536479866480906,0.9893929760235868,0.0086133920997363,0.0147743029352796,0.9989293432973602,0.03059049572952946,Random forest tuned
7,1.0,0.03584899480193925,0.04536479866480906,0.9893929760235868,0.0151335073267849,0.0214345896071141,0.9976319769762314,0.02393020905769496,Random forest tuned
11,1.0,0.017901643497727934,0.02651015043049499,0.9971624108722597,0.0283110466231093,0.0439021468873986,0.992217902921046,-0.017391996456903612,Neural network
11,1.0,0.017901643497727934,0.02651015043049499,0.9971624108722597,0.0493612870327139,0.0714918921030679,0.9792038593324452,-0.04498174167257291,Neural network
12,1.0,0.04280032867171326,0.07462538596516001,0.9773409162529381,0.0151335073267849,0.0214345896071141,0.9976319769762314,0.05319079635804591,Random forest tuned
12,1.0,0.04280032867171326,0.07462538596516001,0.9773409162529381,0.0086133920997363,0.0147743029352796,0.9989293432973602,0.05985108302988041,Random forest tuned
10,1.0,0.025380782887729148,0.03955065962139178,0.9933014318766668,0.0493612870327139,0.0714918921030679,0.9792038593324452,-0.03194123248167612,Neural network
10,1.0,0.025380782887729148,0.03955065962139178,0.9933014318766668,0.0283110466231093,0.0439021468873986,0.992217902921046,-0.004351487266006822,Neural network
10,1.0,0.025380782887729148,0.03955065962139178,0.9933014318766668,0.0245221364331558,0.0497806445103823,0.989388041408681,-0.010229984888990518,Neural network
