model,target,target_label,MAE_mean,RMSE_mean,R2_mean,RMSE_std
Gradient boosting tuned,cd,CD,0.007045746543436345,0.014382436456022296,0.9653258792014305,0.0033908701885574355
Random forest tuned,cd,CD,0.008060372422418215,0.017748843679859582,0.9515585739986039,0.006476074345329941
Polynomial ridge tuned,cd,CD,0.01325883822170055,0.02053809308019653,0.9301509880420114,0.0030903712812998777
Gradient boosting tuned,cl,CL,0.06425525213069026,0.09743001695158007,0.982388582148837,0.021883632817530422
Polynomial ridge tuned,cl,CL,0.07207045829853703,0.11338787363855803,0.9754842093287681,0.02204995695197608
Random forest tuned,cl,CL,0.08031048579865037,0.12522545108416058,0.9709968134738659,0.037409258762808595
Gradient boosting tuned,cl_cd,CL/CD,2.6534829076044444,4.207752054015499,0.938145127245378,0.2969292840021092
Random forest tuned,cl_cd,CL/CD,2.7277529152585345,4.4562863575375875,0.9304909741286398,0.5268593295935715
Polynomial ridge tuned,cl_cd,CL/CD,6.756646694804219,10.595535790244341,0.6034583292722916,1.6672979469999356
