model,MAE_mean,RMSE_mean,R2_mean,RMSE_std
Random forest tuned (AoA x Mach),0.019354033956586823,0.03686610637890695,0.9946199242983118,0.03101836657905827
Neural network,0.03994770152291502,0.0630806177140629,0.9896532942743741,0.015996764994653537
