model,best_score,best_rmse,best_params,n_iter,cv_splits,scoring
Random forest tuned,-0.042331635618721476,0.042331635618721476,"{""max_depth"": 20, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}",24,126,neg_root_mean_squared_error
Gradient boosting tuned,-0.07712469980941422,0.07712469980941422,"{""learning_rate"": 0.1, ""max_depth"": 4, ""min_samples_leaf"": 2, ""n_estimators"": 220, ""subsample"": 0.75}",24,126,neg_root_mean_squared_error
Polynomial ridge tuned,-0.3336452432965554,0.3336452432965554,"{""polynomialfeatures__degree"": 3, ""ridge__alpha"": 0.01}",18,126,neg_root_mean_squared_error
