model,MAE_mean,RMSE_mean,R2_mean,RMSE_std
Random forest tuned,0.022443126660750785,0.042331635618721476,0.9939838574116795,0.032401373095981165
Gradient boosting tuned,0.04930106827010242,0.07712469980941422,0.9842284144539344,0.036953119273851684
Polynomial ridge tuned,0.23650275003755222,0.3336452432965554,0.731213784343623,0.044421996642671484
