fold,AoA,Mach,MAE,RMSE,R2,model
29,12.0,0.76,0.5569747340796506,0.6614097177452696,-2.30760076425085e-06,Mean baseline
30,12.0,0.78,0.5796406361960241,0.6861593228379024,-0.0005103790530684993,Mean baseline
31,13.0,0.68,0.5194476186150795,0.6272213441957606,-0.0017772774309745554,Mean baseline
32,13.0,0.7,0.5242659975624542,0.6273216683870089,-0.0018672148369649477,Mean baseline
33,13.0,0.72,0.5319179806308335,0.6317032461672321,-0.0016449906502218337,Mean baseline
34,13.0,0.74,0.5419623491701251,0.6391454704294969,-0.0012311261496107395,Mean baseline
35,13.0,0.76,0.554464191616049,0.6494649774025081,-0.0007303282340656025,Mean baseline
36,13.0,0.78,0.5699662316597375,0.6630535735199706,-0.00025061809081861064,Mean baseline
37,14.0,0.68,0.5194580583264954,0.6200719175232358,-0.004178369355966494,Mean baseline
38,14.0,0.7,0.5246875893025841,0.6217435938147146,-0.004258317933050426,Mean baseline
39,14.0,0.72,0.5322628448711063,0.6258985126959256,-0.004049777099403684,Mean baseline
40,14.0,0.74,0.543313790267186,0.6344373055348201,-0.00332426088344584,Mean baseline
41,14.0,0.76,0.5570503037793824,0.645850416834263,-0.002381307592481896,Mean baseline
42,14.0,0.78,0.5740465418778182,0.6607398762534316,-0.0013354825496185718,Mean baseline
43,15.0,0.68,0.5252055820063967,0.6208911644054717,-0.006180526811054188,Mean baseline
44,15.0,0.7,0.5309616258831829,0.6233582001565497,-0.006303773470835106,Mean baseline
45,15.0,0.72,0.5384406406391006,0.6279613703452056,-0.006115697309509338,Mean baseline
46,15.0,0.74,0.5481461341476005,0.6348437248917539,-0.0055981709516823575,Mean baseline
47,15.0,0.76,0.561561859878238,0.6455037292360527,-0.0045417236081708445,Mean baseline
48,15.0,0.78,0.578878938473184,0.6602405726029221,-0.0030848796988396376,Mean baseline
49,16.0,0.68,0.5305898983499242,0.6237780356761847,-0.008525070107086918,Mean baseline
50,16.0,0.7,0.5370448170577542,0.6271045496169981,-0.008629501415490237,Mean baseline
51,16.0,0.72,0.5450286636300737,0.6322157447254423,-0.008433753880107808,Mean baseline
52,16.0,0.74,0.5548528179318307,0.6392434966515982,-0.00790307775586041,Mean baseline
53,16.0,0.76,0.5674880267101268,0.6493890658396205,-0.006837871956926644,Mean baseline
54,16.0,0.78,0.5830512479767301,0.6615916063876139,-0.00552031918861573,Mean baseline
55,17.0,0.68,0.5414948896995713,0.631023520332923,-0.00939495248706712,Mean baseline
56,17.0,0.7,0.548850176648037,0.6355614390416249,-0.009364946144064135,Mean baseline
57,17.0,0.72,0.5577470927099185,0.6417943099510492,-0.00903509253126833,Mean baseline
58,17.0,0.74,0.5685404287222526,0.6500450812810767,-0.008349476861902794,Mean baseline
59,17.0,0.76,0.5810353896274885,0.6596999254337284,-0.007460042455606608,Mean baseline
60,17.0,0.78,0.5960662453417874,0.6715707341366062,-0.006235655994759837,Mean baseline
61,18.0,0.68,0.5487656477494661,0.6376307012236025,-0.011230075199719858,Mean baseline
