model,MAE_mean,RMSE_mean,R2_mean,RMSE_std
Random forest tuned,0.0224431266607507,0.0423316356187214,0.9939838574116796,0.0324013730959811
Neural network,0.02653820389645502,0.04340302636633993,0.9950160438603527,0.01728635930087314
Gradient boosting tuned,0.0493010682701024,0.0771246998094142,0.9842284144539344,0.0369531192738516
Polynomial ridge tuned,0.2365027500375522,0.3336452432965554,0.731213784343623,0.0444219966426714
