model,target,target_label,MAE_mean,RMSE_mean,R2_mean,RMSE_std
Gradient boosting tuned,cl_cd,CL/CD,2.6534829076044444,4.207752054015499,0.938145127245378,0.2969292840021092
Random forest tuned,cl_cd,CL/CD,2.7277529152585345,4.4562863575375875,0.9304909741286398,0.5268593295935715
Polynomial ridge tuned,cl_cd,CL/CD,6.756646694804219,10.595535790244341,0.6034583292722916,1.6672979469999356
