model,MAE_mean,RMSE_mean,R2_mean,RMSE_std,parameter_source
Random forest tuned,0.022443126660750785,0.042331635618721476,0.9939838574116795,0.032401373095981165,tuned
Random forest,0.025771408313471196,0.04710045338139114,0.993016946208299,0.032833440403909266,baseline
Gradient boosting tuned,0.04930106827010242,0.07712469980941422,0.9842284144539344,0.036953119273851684,tuned
Gradient boosting,0.1130456790106421,0.15790987557223324,0.9378149230521444,0.06056198835776241,baseline
Polynomial ridge tuned,0.23650275003755222,0.3336452432965554,0.731213784343623,0.044421996642671484,tuned
Polynomial ridge d2,0.3500095118756888,0.4496884206200108,0.5132516634571668,0.06303140516198129,baseline
Linear regression,0.3999983757389373,0.5189908654083756,0.36766394607175384,0.08023819067841943,baseline
Mean baseline,0.5598400538116411,0.6721815897551701,-0.016971329126429867,0.11144310789235883,baseline
