model,MAE_mean,RMSE_mean,R2_mean,RMSE_std
Random forest,0.025771408313471196,0.04710045338139114,0.993016946208299,0.032833440403909266
Gradient boosting,0.1130456790106421,0.15790987557223324,0.9378149230521444,0.06056198835776241
Polynomial ridge d2,0.3500095118756888,0.4496884206200108,0.5132516634571668,0.06303140516198129
Linear regression,0.3999983757389373,0.5189908654083756,0.36766394607175384,0.08023819067841943
Mean baseline,0.5598400538116411,0.6721815897551701,-0.016971329126429867,0.11144310789235883
